T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
211697, 574, 825, 39, 8190, 2660, -11480
211717, 576, 824, 36, 5250, 140, -5600
211737, 576, 820, 42, -350, 490, 4550
211757, 571, 817, 45, -3080, -2170, 8890
211777, 580, 824, 38, -560, -10010, 3850
211797, 579, 824, 36, -700, -14630, -2940
211817, 573, 821, 37, -5600, -13720, -5460
211837, 575, 820, 38, -9030, -13930, -4200
211857, 578, 828, 38, -9590, -17010, -910
211877, 576, 822, 38, -10360, -19530, 3780
211897, 570, 808, 39, -12180, -20370, 9380
211917, 573, 807, 36, -11620, -23380, 8330
211937, 580, 823, 35, -10640, -25480, -1400
211957, 592, 848, 37, -12740, -22750, -10640
211977, 594, 856, 40, -15190, -19530, -10850
211997, 593, 850, 35, -12740, -22400, -2450
212017, 583, 827, 31, -7910, -27020, 6580
212037, 569, 801, 33, -9240, -23240, 11340
212057, 562, 793, 36, -13020, -16380, 9310
212077, 567, 801, 36, -12040, -14840, 1820
212097, 575, 816, 34, -8330, -16380, -6580
212117, 577, 822, 36, -7770, -14000, -8610
212137, 581, 827, 35, -6930, -11620, -3290
212157, 587, 832, 32, -3220, -12390, 2940
212177, 594, 839, 29, -1050, -10710, 5390
212197, 596, 848, 36, -2240, -3920, 1960
212217, 593, 849, 37, -1960, 1470, -3430
212237, 589, 840, 32, 3010, 630, -5810
212257, 576, 817, 32, 7560, -280, -560
212277, 570, 806, 33, 7420, 4060, 8820
212297, 569, 800, 35, 6230, 9310, 13090
212317, 575, 812, 34, 7280, 11830, 10150
212337, 579, 824, 35, 10010, 11970, 1540
212357, 576, 821, 35, 11340, 13440, -5040
212377, 565, 809, 35, 12180, 14840, -4480
212397, 558, 791, 36, 12320, 15960, 4200
212417, 555, 784, 36, 11970, 16730, 13370
212437, 557, 786, 36, 11480, 17710, 13930
212457, 561, 797, 38, 11340, 17990, 5950
212477, 575, 819, 35, 13160, 15470, -6090
212497, 587, 838, 37, 15120, 12390, -13790
212517, 599, 862, 37, 14420, 12530, -14140
212537, 600, 867, 37, 13020, 13510, -8260
212557, 591, 850, 36, 11270, 14560, 4830
212577, 578, 822, 39, 9730, 14770, 16450
212597, 569, 803, 39, 8260, 14700, 17080
212617, 567, 806, 38, 9870, 11340, 4970
212637, 568, 811, 37, 11480, 7490, -7280
212657, 572, 817, 38, 8820, 7140, -6790
212677, 575, 820, 39, 5040, 7280, 2310
212697, 581, 828, 39, 4130, 4620, 7840
212717, 582, 831, 38, 5040, 490, 5390
212737, 582, 832, 39, 3990, -1610, 2240
212757, 578, 820, 34, 2800, -3570, -840
212777, 568, 811, 37, 1260, -4900, -1820
212797, 566, 805, 39, -2520, -3570, 1540
212817, 564, 804, 41, -5740, -3290, 7350
212837, 574, 813, 37, -4760, -7910, 10150
212857, 585, 830, 36, -1330, -14630, 4900
212877, 596, 857, 37, -1960, -15470, -4690
212897, 604, 871, 38, -5040, -12600, -12040
212917, 600, 864, 37, -6650, -11060, -10360
212937, 583, 835, 35, -6930, -11410, 1540
212957, 566, 800, 37, -7070, -11550, 15820
212977, 554, 780, 36, -7070, -11410, 22330
212997, 552, 774, 38, -5950, -12250, 16590
