T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],LabelX,LabelY,LabelZ
10853,575,860,59,120190,147700,-9170,0,0,1
10873,585,825,30,147910,132090,38640,0,0,1
10893,580,782,16,166530,121800,82460,0,0,1
10913,554,781,48,153020,149590,80710,0,0,1
10933,554,852,74,121800,203840,23030,0,0,1
10953,586,913,69,122430,221130,-37240,0,0,1
10973,612,920,46,158410,187320,-30800,0,0,1
31693,628,1031,-41,-293160,-666960,57960,1,1,1
31713,663,1040,-50,-244650,-674940,28490,1,1,1
31733,715,1151,-29,-218400,-644000,-56700,1,1,1
31753,777,1267,-23,-204960,-600670,-133350,1,1,1
31773,357,-308,145,-182980,-574700,-163660,1,1,1
31793,1612,1997,-1302,2870,-681520,-561050,1,1,1
31813,1049,1997,-145,225540,-750120,-1744820,1,1,1
31833,-883,1444,-77,-241850,182490,-333760,1,1,1
31853,-1081,173,262,-646240,354200,1590960,1,1,1
31873,-108,-542,-161,-407890,-195440,1960210,1,1,1
31893,169,-1282,-223,69230,-529060,1526140,1,1,1
31913,-213,-411,-49,280490,-377790,510720,1,1,1
31933,-641,666,-66,325640,-192710,-748790,1,1,1
31953,-140,1487,-72,389620,-266910,-1555190,1,1,1
31973,734,1997,54,309400,-294000,-1757210,1,1,1
31993,1042,1997,-279,70700,-184450,-1262170,1,1,1
32013,-181,1670,413,-359800,99330,52780,1,1,1
32033,898,58,-166,-464240,73360,1401750,1,1,1
32053,709,547,-542,306390,-604800,1162000,1,1,1
32073,485,724,-317,454160,-606760,-292040,1,1,1
32093,210,718,45,11760,71820,-1015140,1,1,1
32113,279,872,100,-181440,619850,-995960,1,1,1
32133,197,817,132,-142380,680960,-565740,1,1,1
32153,53,695,69,-174790,564480,78610,1,1,1
32173,-42,392,116,-262640,404040,605080,1,1,1
32193,100,-10,131,-274330,226590,843010,1,1,1
32213,310,-100,52,-80640,-28980,764120,1,1,1
32233,473,495,-97,189350,-234920,384790,1,1,1
32253,1019,1591,-406,363510,-345240,-253960,1,1,1
32273,1393,1997,-310,300300,-259560,-850220,1,1,1
32293,802,1997,-76,-118930,312200,-982940,1,1,1
32313,141,1300,204,-376530,787290,-393190,1,1,1
32333,73,272,337,-332080,705950,596120,1,1,1
32353,265,-201,93,-72590,250600,971600,1,1,1
32373,461,238,-300,350140,-225890,609700,1,1,1
32393,592,674,-348,556500,-398300,-100730,1,1,1
32413,394,700,-121,361270,-83790,-639240,1,1,1
32433,405,955,72,58240,456750,-781410,1,1,1
32453,676,1511,200,-51660,758030,-671020,1,1,1
32473,1032,1944,-11,61950,679350,-385630,1,1,1
32493,824,1459,177,249480,437430,67830,1,1,1
32513,363,-1361,1341,259630,387940,463820,1,1,1
32533,1491,1942,-272,358190,223370,353290,1,1,1
32553,1825,1997,37,525280,43330,-206150,1,1,1
32573,680,1513,431,281540,379610,-479150,1,1,1
32593,440,712,189,-87710,610050,-18200,0,0,1
59274,577,754,-341,-28560,11270,-2170,0,0,1
59294,655,777,-273,-1260,9520,7980,0,0,1
59314,597,753,-320,7770,7980,7000,0,0,1
59334,565,761,-235,4760,840,12110,0,0,1
59354,538,788,-226,16030,-700,9940,0,0,1
59374,559,810,-238,13020,490,4900,0,0,1
59394,569,789,-244,-1750,7770,-3710,0,0,1
59414,608,791,-351,-30800,18340,-11340,0,0,1
59434,593,756,-312,-43540,13090,-12040,0,0,1
59454,530,787,-280,-20790,0,-3150,0,0,1
59474,509,783,-239,3150,-7910,8260,0,0,1
59494,531,787,-237,10290,-9240,12110,0,0,1
59514,553,776,-264,-3990,3080,7140,0,0,1
59534,561,781,-264,-14420,9310,280,0,0,1
59554,605,743,-282,-11200,3150,-700,0,0,1
59574,600,780,-263,-7420,-3710,1820,0,0,1
59594,548,810,-183,2310,-6370,3570,0,0,1
59614,581,786,-240,7280,-5390,700,0,0,1
59634,588,766,-264,-6370,-2030,-4340,0,0,1
59654,579,763,-226,-12530,2870,-2870,0,0,1
59674,560,815,-175,-1610,-420,2520,0,0,1
59694,614,793,-244,1610,-2940,3850,0,0,1
59714,566,783,-231,-17780,-1050,-5320,0,0,1
59734,570,790,-234,-23100,4130,-2310,0,0,1
59754,567,787,-225,-12880,1120,-630,0,0,1
59774,558,793,-214,-7700,-4130,-2240,0,0,1
59794,549,787,-189,-3570,-6090,-1190,0,0,1
59814,571,795,-187,1120,-2380,2800,0,0,1
59834,579,800,-206,-8050,2520,280,0,0,1
59854,596,787,-223,-17010,4130,-2730,0,0,1
59874,579,800,-199,-9590,2380,-630,0,0,1
59894,576,807,-203,-210,1820,3570,0,0,1
59914,581,813,-209,3640,-700,2520,0,0,1
59934,573,805,-226,4480,-3150,420,0,0,1
59954,560,815,-212,1820,-1960,-210,0,0,1
59974,570,808,-217,4270,-980,2520,0,0,1
59994,550,808,-221,2450,-560,840,0,0,1
60014,562,810,-223,-3290,1330,490,0,0,1
60034,553,814,-181,-2590,1190,1400,0,0,1
60054,576,800,-193,2730,490,1820,0,0,1
60074,574,801,-194,-2310,1120,-1750,0,0,1
60094,541,785,-164,-11620,2800,-3990,0,0,1
60114,564,797,-197,-17850,1960,-6370,0,0,1
60134,564,805,-196,-20580,280,-6020,0,0,1
60154,571,809,-188,-9870,-1540,-3780,0,0,1
60174,562,810,-143,1820,1540,-1120,0,0,1
60194,578,821,-160,-3430,3780,-3640,0,0,1
60214,548,811,-179,-9240,980,-3850,0,0,1
60234,547,798,-180,-3990,-3010,-2240,0,0,1
60254,519,796,-154,4480,-4060,-140,0,0,1
60274,509,799,-134,7980,-2310,3430,0,0,1
60294,540,774,-122,-4340,-1330,-1540,0,0,1
60314,594,859,-167,-28840,700,-12950,0,0,1
60334,524,851,-157,-42210,3850,-12040,0,0,1
60354,527,835,-137,-38710,7000,-9380,0,0,1
60374,537,855,-107,-38010,5250,-14770,0,0,1
60394,559,847,-77,-43750,-2030,-14070,0,0,1
60414,579,838,-87,-47810,-14630,-7140,0,0,1
60434,569,829,-163,-43400,-18970,2800,0,0,1
60454,518,813,-128,-17150,-10220,19950,0,0,1
60474,530,844,-55,18480,210,23730,0,0,1
60494,527,855,-49,24430,3290,17430,0,0,1
60514,525,827,-85,9030,4900,8890,0,0,1
60534,564,832,-107,-5250,4340,-1190,0,0,1
60554,543,841,-83,-5320,4340,-2240,0,0,1
60574,537,826,-68,-1050,1540,1400,0,0,1
60594,572,830,-58,-2450,-1120,1610,0,0,1
60614,579,828,-74,-10710,-4200,10010,0,0,1
60634,571,830,-57,-24850,-2870,27440,0,0,1
60654,574,829,-64,-42280,-10990,36120,0,0,1
60674,587,834,-59,-56280,-21070,36400,0,0,1
60694,604,821,-52,-54880,-24010,38080,0,0,1
60714,578,798,-79,-44100,-23870,36680,0,0,1
60734,572,805,-51,-26180,-14350,29330,0,0,1
60754,580,812,-14,-1120,-10780,17570,0,0,1
60774,609,810,0,13930,-5460,840,0,0,1
60794,621,803,-10,10010,-3990,-7840,0,0,1
60814,614,800,-39,2590,1190,-5250,0,0,1
60834,595,799,-46,-770,2380,1610,0,0,1
60854,589,795,-33,-350,3290,4760,0,0,1
60874,602,804,-23,1890,4060,2800,0,0,1
60894,607,811,-23,3780,1120,1190,0,0,1
60914,609,830,-21,4130,210,1750,0,0,1
60934,618,824,-29,2520,2030,70,0,0,1
60954,598,816,-37,1260,280,-2170,0,0,1
60974,584,810,-52,560,-490,560,0,0,1
60994,582,813,-35,1120,-420,1120,0,0,1
61014,581,813,-28,5460,140,-210,0,0,1
61034,575,812,-28,6300,-1400,980,0,0,1
85354,252,845,24,-13090,-81060,-47530,1,1,1
