T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],LabelX,LabelY
38334,596,772,21,19950,16170,22400,0,0
38354,577,741,23,19810,20580,31850,0,0
38374,571,728,24,19460,23100,27020,0,0
38394,584,752,25,20650,22050,12110,0,0
38414,615,805,19,24290,16520,-8400,0,0
38434,644,856,15,27370,12180,-22470,0,0
38454,654,873,22,24710,17010,-18830,0,0
38474,642,857,27,17710,27790,630,0,0
38494,632,827,21,17010,30030,19740,0,0
38514,610,793,18,25340,20230,23240,0,0
38534,579,752,25,29330,15050,15890,0,0
38554,557,722,27,24220,19250,9450,0,0
38574,554,710,26,19950,20160,7700,0,0
38594,561,722,27,17570,17360,9730,0,0
38614,588,761,30,12250,17570,10290,0,0
38634,627,822,25,9380,14420,1750,0,0
38654,659,874,17,13440,3710,-14140,0,0
38674,660,884,23,15470,-2590,-25200,0,0
38694,644,861,23,8260,3710,-21700,0,0
38714,619,820,22,3220,8470,-5110,0,0
38734,596,774,25,3220,7490,18200,0,0
38754,582,746,30,-280,8750,34720,0,0
38774,591,758,27,-3710,8050,31010,0,0
38794,613,799,19,-70,-1820,6300,0,0
38814,622,825,18,3360,-11130,-24640,0,0
38834,611,820,29,-2940,-7140,-35070,0,0
38854,615,813,31,-13230,2730,-15120,0,0
38874,630,820,17,-11620,-2800,11480,0,0
38894,627,814,15,-4130,-15890,16870,0,0
38914,606,794,29,-15400,-3220,420,0,0
38934,598,785,27,-15610,-5460,-15960,0,0
38954,596,783,19,-9170,-15190,-16940,0,0
