T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
20011, 96, -1025, -113, 42910, -51590, -53410
20031, 83, -940, -93, 32270, -33320, -12670
20051, 73, -1021, -35, 28560, -11200, -9310
20071, 108, -1091, -58, 24780, -10220, 3640
20091, 108, -1067, -74, 14350, -15050, 10010
20111, 147, -1021, -62, 12320, -17710, -5110
20131, 141, -979, -30, 19460, -14210, -24780
20151, 67, -1048, 57, 19600, 4130, -31640
20171, -17, -1033, -11, 20440, 17920, -38080
20191, 45, -999, -22, 23870, 3080, -36960
20211, 137, -1022, 0, 5250, -8120, -11830
20231, 127, -1006, -43, -2310, -17430, 10920
20251, 129, -989, -27, 980, -13440, 10010
20271, 129, -1013, -26, -2380, -4690, 4130
20291, 124, -1030, -46, 1120, -2660, -140
20311, 105, -1017, -29, -2520, 280, 1680
20331, 131, -971, -62, -5180, 3150, 3010
20351, 162, -999, -45, -5740, 4480, 13860
20371, 145, -991, -42, -6160, 6440, 14630
20391, 138, -1016, -65, -1470, 5180, 3150
20411, 127, -1015, -43, -1680, 1050, 2240
20431, 162, -988, -67, -2100, -490, 2520
20451, 161, -959, -69, -1750, -560, 3780
20471, 125, -986, -62, 490, 1330, 7140
20491, 128, -987, -61, -1190, -1120, 11900
20511, 141, -985, -59, -1120, -1960, 13020
20531, 117, -982, -51, -2030, -3500, 15610
20551, 100, -998, -51, -70, -3080, 14140
20571, 87, -1006, -56, 2380, -2450, 10990
20591, 100, -1002, -33, 490, -5320, 12390
20611, 94, -963, -43, 140, -11060, 11900
20631, 97, -980, -55, 3360, -12810, 13020
20651, 28, -996, -44, 8960, -12110, 19530
20671, 71, -1031, -39, 12460, -9240, 23240
20691, 62, -1000, -35, 9800, -9030, 23100
20711, 49, -992, -31, 13790, -11900, 17990
20731, 55, -988, -54, 24290, -12880, 18550
20751, 37, -974, -236, 31780, -15680, 25900
20771, 14, -1011, 67, -7070, -28210, 28770
20791, 2, -1043, -5, -42770, -18550, 20510
20811, 3, -1008, -78, 19040, -2100, 1400
20831, 33, -1014, -17, 15960, -2870, -13930
20851, -3, -972, -32, -3220, 3080, -27090
20871, 26, -999, -36, 12320, 6790, -8330
20891, 58, -1008, -23, 8890, 2870, 12670
20911, 35, -975, -29, 2380, -1050, 10920
20931, 26, -977, -36, 6160, 1120, -3430
20951, 33, -974, -27, 8890, 560, -700
20971, 35, -1007, -22, 9310, 2800, 3920
20991, 24, -1032, -21, 12390, 4200, 6160
21011, 19, -1024, -16, 10080, 2870, 8260
21031, 39, -992, -21, 5040, 1820, 10290
21051, 31, -966, -25, 4340, 2380, 7980
21071, 5, -992, -17, 5670, 2240, 9520
21091, 10, -1038, -18, 6930, -1540, 20860
21111, -3, -1018, -14, 5670, -5740, 25340
21131, -20, -979, -3, 910, -4690, 21840
21151, -20, -977, -22, -1050, -560, 19180
21171, -14, -985, -12, 4900, -910, 26320
21191, -39, -1007, -4, 2590, -3430, 37660
21211, -44, -1007, -14, 2800, -350, 42350
21231, -66, -974, -13, 5740, 4060, 44450
21251, -36, -1006, -2, 4410, 1540, 42560
21271, -49, -968, -39, 2730, 4200, 29680
21291, -58, -1037, -9, 12810, 2800, 29260
21311, -85, -979, -18, 3850, 1400, 26880
21331, -123, -979, -6, 4480, -210, 14980
